ticker,mean_returns,std_returns,skew_returns,kurt_returns,mean_volatility,volatility_of_volatility,mean_rsi,trend_strength,mean_volume_ratio,volume_volatility,mean_spread
SLB,0.0005176237426552986,0.023683638302351748,-0.09204059644196619,2.906218384551428,0.022404715667771042,0.007959263517133936,50.912115450578085,-0.018408567972106882,1.0094526911217199,0.4056267313240365,0.029734729564592555
EOG,0.0006167657340699278,0.020624948165476685,-0.17441927579335476,2.4649717359819077,0.019473234116007637,0.007418789576527006,52.10205322191005,-0.04752243088924879,1.0037920660536324,0.38365490561086113,0.026464065945296128
JNJ,0.0004016217048566275,0.010809418796816826,0.09699638391909335,5.374419436752213,0.010317971519439813,0.0032224071629883754,51.12088347776507,0.12671381023248007,1.0169673020643248,0.39523589405136084,0.014823526673677928
PFE,-0.00017054439826214243,0.016500436517002202,0.5328237801296039,3.1338717262482527,0.015729129707862922,0.00483361518016637,47.46786096731716,0.028920186991044483,1.0205984309398637,0.44633535117123113,0.021730683707421476
UNH,3.074720732958475e-05,0.01976515347347276,-2.1025424329752935,25.338537309892896,0.017288502431954084,0.009285260170574435,51.479564328127225,-0.06283723438676214,1.0244888347193122,0.5275370277779593,0.02164908197331057
ABBV,0.0009876998214712542,0.014373078077207472,-1.1118923332360673,8.926501198793737,0.013391151788224252,0.004993070960695777,55.4753497814915,0.12633946653772643,1.003334447357057,0.4373714856616627,0.01954528538958875
TMO,0.0001593435838926885,0.017127424184635615,0.5486217773765902,3.666286828506328,0.016253723699447817,0.005746473697892363,50.16816540984402,0.11426438469126365,1.0099914998084687,0.3947199105485123,0.022167452670883676
WMT,0.0009090654758372379,0.013484083487347925,-0.5852376366506079,12.009306888660921,0.012309383307390882,0.005482064157804102,55.77970818527177,0.059924127304185504,1.0055301961485856,0.4562917783472962,0.01639744812850735
HD,0.00022774309235991638,0.015337229304896432,-0.18502360396307257,3.1878195056400767,0.014618890546595764,0.00440372093534131,51.94475912736667,0.03436102172234934,1.0090578966202013,0.38529223991529626,0.019965428295817288
MCD,0.00035211061454120844,0.011025204501133113,-0.08381198643501246,2.4554885706867697,0.01055042612024093,0.0031483770002138705,52.35793064108361,-0.0016942737417133813,1.0077345864177494,0.36312928815730827,0.015247182570092279
NKE,-0.0005283122145868845,0.022389430086761298,-0.5615171025500059,12.689819180303305,0.020636069976701303,0.008774728344873629,47.899078547608745,-0.0018563373980412523,1.0183207357984962,0.5515979953026874,0.023210457588020095
SBUX,3.419513581507364e-05,0.020578351793453863,1.4111282295932401,25.76224799430764,0.018435376546103645,0.009304027172504918,49.35051665774066,-0.07012333603492804,1.0174346580094227,0.513722988646486,0.021666830014809884
BA,9.121253750067717e-05,0.023395233538982856,-0.03638063809819088,3.8588670686382285,0.021949275879496168,0.008044177811604575,50.31923422416899,0.046438992784315625,1.0102635530063704,0.5099670730971834,0.029103700356654834
CAT,0.0012731880428103757,0.018855023060462828,0.40120319830943385,4.287214437980087,0.01791052885438412,0.005436737554210634,54.45942658190809,0.2841232710181856,1.0036793617232718,0.40683303156255474,0.022903993644572563
